Start,End,Speaker,Text
0:00:00,0:00:05,Joe,To our chat. It's called Stop Motion.
0:00:05,0:00:08,Patricia,Okay. ?Y es gratis? ?Trabajamos de...?
0:00:08,0:00:09,Joe,"Sí, es gratis."
0:00:09,0:00:10,Patricia,Okay.
0:00:10,0:00:26,Joe,"Y entonces empezamos con new movie. No sé si quieres ver qué hay. So, entonces, I put this piece of tape here just to make sure it's always in the same place."
0:00:26,0:00:27,Patricia,Okay.
0:00:27,0:00:28,Joe,And then...
0:00:28,0:00:31,Patricia,"Okay, it's the App Store, solo. Yo no tengo iPhone"
0:00:31,0:00:35,Joe,"Oh, solo? Solo App Store?"
0:00:35,0:00:36,Patricia,App Store.
0:00:36,0:00:44,Joe,"Sí, it probably sent the link to the App Store, but you might be able to find it for your... like, the store for Android."
0:00:44,0:00:46,Patricia,Lo siento.
0:00:46,0:01:25,Joe,"Entonces, we start by hitting the camera button, get into here. So, that just takes one photo. And then, you can adjust this here on this side. This adjusts how many of the previous frames it's showing. So, like, I forget who today was saying, like, was describing the way we make animations and was saying, like, yeah, and you have to, like, go based off of the ghost. Yeah, they said something about, like, the pictures per second. Yeah. So, if you see now, when I twist it, it's got the frame, the previous frame and what it's currently saying."
0:01:25,0:01:27,Group,"Oh, wow."
0:01:27,0:01:31,Joe,"Yeah, so that's, like, the most complicated part about using this app."
0:01:31,0:01:34,Cristina,"Okay, so that, wait, so that, what does that adjust then again?"
0:01:34,0:01:35,Joe,This adjusts how many...
0:01:35,0:01:37,Cristina,How many frames it'll show.
0:01:37,0:01:45,Joe,"Yeah, so it could show, we only have one before it, so it doesn't matter. But it could show, like... It could show, like, five. Okay. Yeah, so that you know, like, how fast something's moving."
0:01:45,0:01:48,Patricia,Stop Motion Studio is Stop Motion Studio Pro.
0:01:48,0:01:49,Belen,"Yes, yes, yes."
0:01:49,0:01:50,Cristina,No way.
0:01:50,0:01:56,Joe,"And I'm moving that. And then I can tell, I'm moving it one ball's distance each time."
0:01:56,0:02:00,Cristina,"Right. Oh, no. Angela."
0:02:00,0:02:14,Joe,"Okay, this is a perfect example of how to delete a photo. You go, so, yeah, you just go, you go out here, you hit the arrow, and you go back, you just select the frame and delete."
0:02:14,0:02:18,Patricia,"Yeah, so if this is moved, you need to delete it because it's not going to work."
0:02:18,0:02:30,Joe,"Yeah, and oftentimes the kids will, like, have their hands in and they'll press the photo at the same time. And you'll be like, oh, do you want your hand in there? So, and then, you know, it's going to bounce."
0:02:30,0:02:31,Patricia,That's helpful.
0:02:31,0:02:48,Joe,"You know, I don't think I need to explain much more about it, I feel like. But I also, I don't feel like we're going to bump things too much. But, like, I tape down the paper usually just to make sure the background paper doesn't move. Now I just want to finish it."
0:02:48,0:02:49,Cristina,"Yeah, you should."
0:02:49,0:02:50,Joe,I really think you should.
0:02:50,0:02:56,SPEAKER_06,It needs to go in the basket. Wait so I have a question. We said five frames. I don't think I understand. It takes five pictures?
0:02:56,0:03:00,Joe,"No, it takes one picture every time you press the button. But I can change this slider here."
0:03:00,0:03:02,Patricia,Show the previous one.
0:03:02,0:03:04,Joe,Maybe that's not the setting I thought.
0:03:04,0:03:05,SPEAKER_06,"Oh, that's a directory."
0:03:05,0:03:06,Patricia,It changes the transparency of it.
0:03:06,0:03:10,Joe,I'm sorry. But there is a setting that lets you change how many frames it shows.
0:03:10,0:03:11,Patricia,"Ah, that's the transparency."
0:03:11,0:03:15,SPEAKER_06,"I like the ghost image of what it was. Ah, yeah. Where to go next."
0:03:15,0:03:21,Joe,"Oh, here. Just one here. Yeah, now it shows three. So you can see the three previous frames."
0:03:21,0:03:25,SPEAKER_06,"Gotcha. Oh, I see. Oh, yeah. Zero."
0:03:25,0:03:32,Joe,"Yeah, so now you can see three. Four. Where it's coming from. Five. And where it's going. And, like, how fast it's going in theory."
0:03:32,0:03:39,Patricia,"And the light is the other thing you have to, so not moving this. And also having the same light. Yes."
0:03:39,0:03:41,Joe,"Also, yeah, I use a lamp usually."
0:03:41,0:03:44,Patricia,"Any kind of lamp, right, that gives a light?"
0:03:44,0:03:51,Joe,"Yeah, ideally you'd have two so that there aren't any shadows. But I've only been using one and it's been turning out fine."
0:03:51,0:03:54,Patricia,"Yeah, they're fine. I mean, we don't need them to be too bright."
0:03:54,0:04:10,Joe,"Yeah, I mean, honestly, in this lighting it's better without an extra light. But also it depends how they make their elements that are sitting on the page. Like the one with the tiger, they had it very folded up so that it was casting a lot of shadows. So that's why you turn it on too. But anyway. And that would be fixed."
