[0:00:00 -> 0:00:02]  Say movie Mario.
[0:00:06 -> 0:00:07]  Tell me.
[0:00:07 -> 0:00:09]  Tell me what you are doing.
[0:00:13 -> 0:00:15]  What do you mean? Aren't you planning your stop motion?
[0:00:15 -> 0:00:16]  Yes.
[0:00:16 -> 0:00:18]  Movie? Let's see how it goes.
[0:00:18 -> 0:00:21]  Here. Remember here we are going to change the story?
[0:00:21 -> 0:00:22]  Yes.
[0:00:22 -> 0:00:24]  Remember here we are going to change here?
[0:00:24 -> 0:00:26]  We have to reconcile.
[0:00:27 -> 0:00:29]  It's Aiden, right?
[0:00:29 -> 0:00:31]  Yes, it's Aiden.
[0:00:31 -> 0:00:37]  Because he made a story where they fight with Isis.
[0:00:37 -> 0:00:40]  Aha, this is Aiden and this is Isis?
[0:00:40 -> 0:00:41]  Yes.
[0:00:41 -> 0:00:43]  Isis made it, not me.
[0:00:43 -> 0:00:45]  Oh, Isis.
[0:00:45 -> 0:00:47]  Isis made the story, not me.
[0:00:47 -> 0:00:48]  She made the story?
[0:00:48 -> 0:00:49]  Yes.
[0:00:49 -> 0:00:50]  Last week?
[0:00:50 -> 0:00:52]  No, before the break.
[0:00:52 -> 0:00:53]  Before the break?
[0:00:53 -> 0:00:54]  Before the break.
[0:00:54 -> 0:00:56]  Aha, but do you remember what it was?
[0:00:56 -> 0:01:00]  In the end, he said they were going to get angry.
[0:01:00 -> 0:01:04]  So we were talking about when we fight with our friends,
[0:01:04 -> 0:01:08]  if we get angry or reconcile.
[0:01:10 -> 0:01:12]  Tell me, Jaira, didn't you like this story?
[0:01:12 -> 0:01:14]  Didn't you want this story?
[0:01:14 -> 0:01:15]  Or do you want to finish it?
[0:01:15 -> 0:01:18]  Because you say that Isis was the one who made it.
[0:01:18 -> 0:01:20]  We can change it.
[0:01:20 -> 0:01:23]  Tell me, tell me the story.
[0:01:23 -> 0:01:26]  Do you like the story, Jaira? Tell me.
[0:01:28 -> 0:01:30]  Is this story important to you or not?
[0:01:30 -> 0:01:31]  Yes.
[0:01:31 -> 0:01:33]  It has to be important to you. Why?
[0:01:34 -> 0:01:36]  Jordani said he's going to do the walk.
[0:01:36 -> 0:01:38]  Why is it important to you?
[0:01:39 -> 0:01:42]  What are you going to put? Are you going to put something from the community in your box for the story?
[0:01:42 -> 0:01:43]  No.
[0:01:43 -> 0:01:45]  Where is this story going to happen?
