   0 [   0.00 ->    2.00] Say movie Mario.
   1 [   6.00 ->    7.00] Tell me.
   2 [   7.00 ->    9.00] Tell me what you are doing.
   3 [  13.00 ->   15.00] What do you mean? Aren't you planning your stop motion?
   4 [  15.00 ->   16.00] Yes.
   5 [  16.00 ->   18.00] Movie? Let's see how it goes.
   6 [  18.00 ->   21.00] Here. Remember here we are going to change the story?
   7 [  21.00 ->   22.00] Yes.
   8 [  22.00 ->   24.00] Remember here we are going to change here?
   9 [  24.00 ->   26.00] We have to reconcile.
  10 [  27.00 ->   29.00] It's Aiden, right?
  11 [  29.00 ->   31.00] Yes, it's Aiden.
  12 [  31.00 ->   37.00] Because he made a story where they fight with Isis.
  13 [  37.00 ->   40.00] Aha, this is Aiden and this is Isis?
  14 [  40.00 ->   41.00] Yes.
  15 [  41.00 ->   43.00] Isis made it, not me.
  16 [  43.00 ->   45.00] Oh, Isis.
  17 [  45.00 ->   47.00] Isis made the story, not me.
  18 [  47.00 ->   48.00] She made the story?
  19 [  48.00 ->   49.00] Yes.
  20 [  49.00 ->   50.00] Last week?
  21 [  50.00 ->   52.00] No, before the break.
  22 [  52.00 ->   53.00] Before the break?
  23 [  53.00 ->   54.00] Before the break.
  24 [  54.00 ->   56.00] Aha, but do you remember what it was?
  25 [  56.00 ->   60.00] In the end, he said they were going to get angry.
  26 [  60.00 ->   64.00] So we were talking about when we fight with our friends,
  27 [  64.00 ->   68.00] if we get angry or reconcile.
  28 [  70.00 ->   72.00] Tell me, Jaira, didn't you like this story?
  29 [  72.00 ->   74.00] Didn't you want this story?
  30 [  74.00 ->   75.00] Or do you want to finish it?
  31 [  75.00 ->   78.00] Because you say that Isis was the one who made it.
  32 [  78.00 ->   80.00] We can change it.
  33 [  80.00 ->   83.00] Tell me, tell me the story.
  34 [  83.00 ->   86.00] Do you like the story, Jaira? Tell me.
  35 [  88.00 ->   90.00] Is this story important to you or not?
  36 [  90.00 ->   91.00] Yes.
  37 [  91.00 ->   93.00] It has to be important to you. Why?
  38 [  94.00 ->   96.00] Jordani said he's going to do the walk.
  39 [  96.00 ->   98.00] Why is it important to you?
  40 [  99.00 ->  102.00] What are you going to put? Are you going to put something from the community in your box for the story?
  41 [ 102.00 ->  103.00] No.
  42 [ 103.00 ->  105.00] Where is this story going to happen?
  43 [ 105.00 ->  107.00] In the park.
  44 [ 108.00 ->  110.00] In the park? Let's see.
  45 [ 111.00 ->  115.00] In the park where we didn't go, where they play baseball.
  46 [ 118.00 ->  120.00] We didn't go on the day of the walk, I mean.
  47 [ 121.00 ->  122.00] No?
  48 [ 122.00 ->  124.00] Okay, but it's going to be in the park.
  49 [ 124.00 ->  125.00] We didn't go.
  50 [ 126.00 ->  127.00] It's going to be in the park.
  51 [ 129.00 ->  131.00] Let's see, and Dariel, what is he doing?
  52 [ 132.00 ->  133.00] It's perfect.
  53 [ 133.00 ->  134.00] You said it.
  54 [ 134.00 ->  135.00] Yes.
  55 [ 136.00 ->  139.00] But tell me, what's going to happen in the park?
  56 [ 139.00 ->  142.00] Explain to the teacher how the story is going to be.
  57 [ 142.00 ->  144.00] And we can change things.
  58 [ 144.00 ->  146.00] Tell him how you explained it to me.
  59 [ 146.00 ->  147.00] Let's see, Jaden.
  60 [ 160.00 ->  163.00] Well, we're going to make the dolls with plastic, right?
  61 [ 164.00 ->  165.00] No.
  62 [ 165.00 ->  166.00] How are we going to do it?
  63 [ 166.00 ->  168.00] Wait, maybe he has another idea, Dariel.
  64 [ 169.00 ->  170.00] Because he said no.
  65 [ 171.00 ->  172.00] Yes, yes, yes.
  66 [ 172.00 ->  173.00] Yes, yes, we're going to do it with plastic.
  67 [ 173.00 ->  176.00] We're going to make an Isis and we're going to make a Jaden.
  68 [ 177.00 ->  179.00] And what's going to happen? How is the action going to be?
  69 [ 180.00 ->  181.00] How is the action going to be?
  70 [ 181.00 ->  183.00] How is your stop motion going to be?
  71 [ 183.00 ->  184.00] What's going to happen first?
  72 [ 184.00 ->  185.00] What's going to happen first?
  73 [ 189.00 ->  191.00] Do you want to check what we wrote first?
  74 [ 195.00 ->  197.00] Can I take a picture of you?
  75 [ 198.00 ->  199.00] What did you write here?
  76 [ 199.00 ->  200.00] A lot of words.
  77 [ 200.00 ->  203.00] We're going to take a picture of your movie.
  78 [ 204.00 ->  205.00] Wait, first put it on.
  79 [ 205.00 ->  206.00] Now you can press it.
  80 [ 207.00 ->  208.00] Do you want to press it?
  81 [ 209.00 ->  211.00] Jaden, do you want to press the button?
  82 [ 212.00 ->  213.00] Here?
  83 [ 213.00 ->  214.00] I'll press it.
  84 [ 214.00 ->  215.00] Stand up and look there.
  85 [ 216.00 ->  218.00] There, perfect. Thank you.
  86 [ 218.00 ->  220.00] This is Jaden and Isis.
  87 [ 221.00 ->  222.00] Right?
  88 [ 223.00 ->  224.00] Can you tell me?
  89 [ 226.00 ->  227.00] What did they write there?
  90 [ 227.00 ->  228.00] Me?
  91 [ 230.00 ->  231.00] Isis?
  92 [ 232.00 ->  234.00] Me fighting Isis.
  93 [ 235.00 ->  236.00] Fighting Isis.
  94 [ 236.00 ->  238.00] Good title, right? Because that's the story.
  95 [ 239.00 ->  242.00] And what do you want to tell the people who see your story?
  96 [ 243.00 ->  245.00] What message are you giving as the author?
  97 [ 245.00 ->  247.00] You're the author of the story. What's your message?
  98 [ 249.00 ->  250.00] To the reader.
  99 [ 252.00 ->  253.00] There has to be a message, right?
 100 [ 262.00 ->  263.00] Let's see, Dariel.
 101 [ 263.00 ->  264.00] Can I take a picture of you?
 102 [ 264.00 ->  266.00] You're not done yet. I'll take a picture of you later.
 103 [ 266.00 ->  268.00] Yes, because the story is changing a bit.
 104 [ 269.00 ->  270.00] Tell me, Dariel.
 105 [ 271.00 ->  273.00] There's Mario coming with us to the pool.
 106 [ 273.00 ->  274.00] Can I use your eraser?
 107 [ 274.00 ->  275.00] Wait one second.
 108 [ 276.00 ->  277.00] I messed up.
 109 [ 279.00 ->  280.00] Thanks.
 110 [ 281.00 ->  282.00] Dariel and...
 111 [ 283.00 ->  284.00] Mario!
 112 [ 286.00 ->  288.00] Dariel and Mario, is that your title?
 113 [ 289.00 ->  291.00] No, here it says the title is The Bee.
 114 [ 293.00 ->  295.00] Is that the title of your story, Dariel?
 115 [ 295.00 ->  297.00] Dariel and Mario, is that your title?
 116 [ 297.00 ->  299.00] Yeah, mine is Mario too.
 117 [ 299.00 ->  300.00] You changed it.
 118 [ 300.00 ->  302.00] Mine is Mario too.
 119 [ 302.00 ->  304.00] Sorry, remind me your name.
 120 [ 305.00 ->  306.00] Mario.
 121 [ 306.00 ->  307.00] Remind me your name.
 122 [ 308.00 ->  309.00] Jordani, sorry, Jordani.
 123 [ 309.00 ->  312.00] Jordani, tell me. What are you looking for on the phone?
 124 [ 313.00 ->  314.00] I want to play Mario.
 125 [ 314.00 ->  317.00] You want to play Mario too? You already did it. It was really good.
 126 [ 318.00 ->  320.00] Yes, but I didn't like it.
 127 [ 320.00 ->  321.00] You didn't like it that much?
 128 [ 323.00 ->  325.00] I want to do an easy version.
 129 [ 326.00 ->  327.00] What?
 130 [ 327.00 ->  328.00] An easy version.
 131 [ 328.00 ->  330.00] An easy version to be able to draw it better.
 132 [ 331.00 ->  332.00] Can I get a color?
 133 [ 333.00 ->  334.00] Okay.
 134 [ 335.00 ->  336.00] And what is the story going to be?
 135 [ 337.00 ->  338.00] Have you thought about it?
 136 [ 338.00 ->  340.00] I don't care. I just want...
 137 [ 343.00 ->  346.00] But we said Mario was going to walk through where?
 138 [ 346.00 ->  347.00] Wait, let me see, let me see.
 139 [ 348.00 ->  349.00] No, actually I want...
 140 [ 350.00 ->  351.00] He's focused.
 141 [ 352.00 ->  353.00] I want red, yellow...
 142 [ 354.00 ->  356.00] Red, yellow and blue.
 143 [ 357.00 ->  358.00] Mario's colors.
 144 [ 358.00 ->  359.00] Yeah.
 145 [ 359.00 ->  360.00] Okay.
 146 [ 361.00 ->  362.00] And brown.
 147 [ 362.00 ->  363.00] What's going on in your story, Darién?
 148 [ 364.00 ->  365.00] Oh, that was a good one!
 149 [ 367.00 ->  368.00] That was a good one.
 150 [ 368.00 ->  371.00] Where is Mario? Mario's right here.
 151 [ 372.00 ->  373.00] That's a good part.
 152 [ 373.00 ->  374.00] Yes, it's really good.
 153 [ 375.00 ->  377.00] But you skipped this whole story.
 154 [ 378.00 ->  379.00] I'm gonna fix it.
 155 [ 380.00 ->  381.00] Tell me from the beginning.
 156 [ 382.00 ->  383.00] No, I mean, telling me what you want.
 157 [ 383.00 ->  384.00] I need also a brown.
 158 [ 384.00 ->  385.00] A brown.
 159 [ 385.00 ->  386.00] Brown.
 160 [ 386.00 ->  387.00] Brown.
 161 [ 387.00 ->  388.00] Brown.
 162 [ 389.00 ->  391.00] Tell me what happens in the first one.
 163 [ 392.00 ->  394.00] Okay, you tell me how it goes.
 164 [ 395.00 ->  397.00] You say you go to the beach with Mario.
 165 [ 398.00 ->  399.00] And with my other friend.
 166 [ 400.00 ->  401.00] With other friends?
 167 [ 402.00 ->  403.00] That are not from the video game?
 168 [ 404.00 ->  405.00] Not from the video game.
 169 [ 406.00 ->  407.00] Okay, people.
 170 [ 407.00 ->  408.00] Really.
 171 [ 409.00 ->  410.00] Really.
 172 [ 410.00 ->  411.00] And what are they going to do on the beach?
 173 [ 411.00 ->  412.00] What are they going to do on the beach?
 174 [ 413.00 ->  414.00] We are going to...
 175 [ 427.00 ->  429.00] Is there going to be a problem in your story or not?
 176 [ 436.00 ->  437.00] Is that Darién?
 177 [ 438.00 ->  439.00] Or you can't?
 178 [ 439.00 ->  440.00] You can't draw.
 179 [ 451.00 ->  452.00] Okay, tell me the story now.
 180 [ 453.00 ->  456.00] So, you go to the beach with Mario and other real people.
 181 [ 457.00 ->  458.00] All your friends.
 182 [ 458.00 ->  459.00] And what happens?
 183 [ 460.00 ->  461.00] Mario took off his hat here.
 184 [ 462.00 ->  463.00] He took off his hat here?
 185 [ 463.00 ->  464.00] On the three?
 186 [ 465.00 ->  466.00] This is the one.
 187 [ 466.00 ->  467.00] Can I put numbers?
 188 [ 467.00 ->  468.00] This is the two.
 189 [ 468.00 ->  469.00] Can I put a number here?
 190 [ 470.00 ->  471.00] This is the three, right?
 191 [ 472.00 ->  473.00] And this is the four.
 192 [ 473.00 ->  474.00] Okay.
 193 [ 474.00 ->  475.00] Can you explain to me about the three?
 194 [ 476.00 ->  477.00] Did he put his hat there?
 195 [ 478.00 ->  479.00] No, he took it off.
 196 [ 479.00 ->  480.00] He took off his hat.
 197 [ 481.00 ->  482.00] Ah, because he always wears it like this.
 198 [ 482.00 ->  483.00] Okay.
 199 [ 484.00 ->  485.00] This is...
 200 [ 485.00 ->  486.00] Look.
 201 [ 492.00 ->  494.00] Thirteen hours and more than two.
 202 [ 494.00 ->  495.00] He comes and goes without Mario.
 203 [ 496.00 ->  497.00] And now what is Mario going to do?
 204 [ 498.00 ->  499.00] Mario...
 205 [ 502.00 ->  503.00] This is Mario?
 206 [ 504.00 ->  505.00] And where is the hat now?
 207 [ 506.00 ->  508.00] Put it in red if you want it to look better.
 208 [ 509.00 ->  510.00] Like here, right?
 209 [ 511.00 ->  512.00] He put it in a box.
 210 [ 513.00 ->  515.00] Oh, it's not here in the scene, the hat is not shown.
 211 [ 516.00 ->  517.00] Okay.
 212 [ 517.00 ->  518.00] And what happens in the story?
 213 [ 518.00 ->  519.00] What is the problem in the story?
 214 [ 520.00 ->  521.00] Is there a problem or not?
