Start,End,Speaker,Text
0:00:00,0:00:05,SPEAKER_01,To our chat. It's called Stop Motion.
0:00:05,0:00:09,SPEAKER_03,"Okay. It's free? We download it? Yes, it's free."
0:00:09,0:00:28,SPEAKER_01,"Okay. So, we started with a new movie. I don't know if you want to see what's in it. So, I put this piece of tape here just to make sure it's always in the same place. Okay. And then..."
0:00:28,0:00:36,SPEAKER_03,"Okay, it's the App Store. Oh, solo? Solo App Store? App Store."
0:00:36,0:01:25,SPEAKER_01,"See, it probably sent the link to the App Store, but you might be able to find it for your... like, the store for Android. Lo siento. Entonces, we start by hitting the camera button, get into here. So, that just takes one photo. And then, you can adjust this here on this side. This adjusts how many of the previous frames it's showing. So, like, I forget who today was saying, like, was describing the way we make animations and was saying, like, yeah, and you have to, like, go based off of the ghost. Yeah, they said something about, like, the pictures per second. Yeah. So, if you see now, when I twist it, it's got the frame, the previous frame and what it's currently saying."
0:01:25,0:01:27,SPEAKER_02,"Oh, wow."
0:01:27,0:01:31,SPEAKER_01,"Yeah, so that's, like, the most complicated part about using this app."
0:01:31,0:01:34,SPEAKER_04,"Okay, so that, wait, so that, what does that adjust then again?"
0:01:34,0:01:35,SPEAKER_01,This adjusts how many...
0:01:35,0:01:37,SPEAKER_04,How many frames it'll show.
0:01:37,0:01:45,SPEAKER_01,"Yeah, so it could show, we only have one before it, so it doesn't matter. But it could show, like... it could show, like, five. Okay. Yeah, so that you know, like, how fast something's moving."
0:01:45,0:01:50,SPEAKER_03,"Stop Motion Studio is Stop Motion Studio Pro. Yes, yes, yes. No way."
0:01:50,0:02:14,SPEAKER_01,"And I'm moving that. And then I can tell, I'm moving it one ball's distance each time. Right. Oh, no. Angela. Okay, this is a perfect example of how to delete a photo. You go, so, yeah, you just go, you go out here, you hit the arrow, and you go back, you just select the frame and delete."
0:02:14,0:02:18,SPEAKER_03,"Yeah, so if this is moved, you need to delete it because it's not going to work."
0:02:18,0:02:50,SPEAKER_01,"Yeah, and oftentimes the kids will, like, have their hands in and they'll press the photo at the same time. And you'll be like, oh, do you want your hand in there? So, and then, you know, it's going to bounce. That's helpful. You know, I don't think I need to explain much more about it, I feel like. But I also, I don't feel like we're going to bump things too much. But, like, I tape down the paper usually just to make sure the background paper doesn't move. Now I just want to finish it. Yeah, you should. I really think you should."
0:02:50,0:02:56,SPEAKER_06,It needs to go in the basket. So I have a question. We said five frames. I don't think I understand. It takes five pictures?
0:02:56,0:03:02,SPEAKER_01,"No, it takes one picture every time you press the button. But I can change this slider here. Show the previous one."
0:03:02,0:03:04,SPEAKER_05,Maybe that's not the setting I thought.
0:03:04,0:03:11,SPEAKER_01,"Oh, that's a drag three. It changes the transparency of it. I'm sorry. But there is a setting that lets you change how many frames it shows. Ah, that's the transparency."
0:03:11,0:03:15,SPEAKER_02,"I like the ghost image of what it was. Ah, yeah. Where to go next."
0:03:15,0:03:22,SPEAKER_01,"Oh, here. Just one here. Yeah, now it shows three. So you can see the three previous frames. Gotcha."
0:03:22,0:03:25,SPEAKER_06,"Oh, I see. Oh, yeah. Zero."
0:03:25,0:03:32,SPEAKER_01,"Yeah, so now you can see three. Four. Where it's coming from. Five. And where it's going. And, like, how fast it's going in theory."
0:03:32,0:03:39,SPEAKER_03,"And the light is the other thing you have to, so not moving this. And also having the same light. Yes."
0:03:39,0:03:41,SPEAKER_01,"Also, yeah, I use a lamp usually."
0:03:41,0:03:44,SPEAKER_03,"Any kind of lamp, right, that gives a light?"
0:03:44,0:03:51,SPEAKER_01,"Yeah, ideally you'd have two so that there aren't any shadows. But I've only been using one and it's been turning out fine."
0:03:51,0:03:52,SPEAKER_05,"Yeah, they're fine."
0:03:52,0:03:54,SPEAKER_03,"I mean, we don't need them to be too bright."
0:03:54,0:04:10,SPEAKER_01,"Yeah, I mean, honestly, in this lighting it's better without an extra light. But also it depends how they make their elements that are sitting on the page. Like the one with the tiger, they had it very folded up so that it was casting a lot of shadows. So that's why you turn it on too. But anyway. And that would be fixed."
0:04:10,0:04:14,SPEAKER_06,"Yes. Oh, it's a basketball."
0:04:14,0:04:17,SPEAKER_00,"Oh, wow. That's good."
0:04:17,0:04:19,SPEAKER_04,Or it's a trash can.
0:04:19,0:04:24,SPEAKER_06,"Oh, a trash can ball. Because it's on the ground. I think it's a rubber ball."
0:04:24,0:04:28,SPEAKER_01,Bounced off the rim. Making this take longer than it has to. Sorry.
0:04:28,0:04:34,SPEAKER_04,"I'm like, we're in detail. Jo's like doing a swirl thing to switch. I have a centimeter over. Well, it's slowing down."
0:04:34,0:04:38,SPEAKER_03,"Yeah, the point is it's not going to. Make it switch."
0:04:38,0:04:43,SPEAKER_04,"He's a professional, okay? Actually. Oh, now he's tucking it in."
0:04:43,0:04:53,SPEAKER_01,"Made one earlier today. Made an animation. You did? Just us? No, for a class. We were actually, yeah, I'm in a new media class and we're doing animation right now. I really want to barge into that clay room you guys have."
0:04:53,0:05:06,SPEAKER_03,I'm thinking that we might want to get more of these setups. Like more lights on the glass. Yeah. And have several going on at the same time. For the next time. So it's not so slow to get through all the chip train.
0:05:06,0:05:10,SPEAKER_00,"And once you finish taking the picture. Yeah, so what I just did."
0:05:10,0:05:21,SPEAKER_01,So we were in here and I go back out. That brings you to the timeline. And I just scroll back to the beginning and hit play. Bounce.
0:05:21,0:05:24,SPEAKER_06,"Wow, that's so cool. Boing, boing, boing. Oh, that's so cool."
0:05:24,0:05:28,SPEAKER_01,"And then if you want to export it like the way I got it here, you go back out to."
0:05:28,0:05:30,SPEAKER_02,Can you change the speed at which you see different things?
0:05:31,0:05:46,SPEAKER_01,"Yeah, you can do a different frame rate. I put it on this one just so that they get the most out of their photos. It lasts the longest. It's the slowest one that they set it to, I believe. Here, let me."
0:05:46,0:05:52,SPEAKER_00,You save it on your phone. Yeah. And then you can.
0:05:52,0:05:54,SPEAKER_03,"It's the same one, right?"
0:05:54,0:05:55,SPEAKER_01,"Oh, yeah, you got the app."
0:05:55,0:05:59,SPEAKER_03,"Oh, yeah. There's one called Pro, but I didn't do that."
0:05:59,0:06:13,SPEAKER_01,"Here, yeah, frame speed is five per second. Oh, I guess you can change it to one frame per second if you wanted to. But, yeah, so I have it at five per second. Video, like when you go to the movies, is usually 30 or 60 frames per second."
0:06:13,0:06:16,SPEAKER_03,Is this sophisticated enough to add voice?
0:06:16,0:06:17,SPEAKER_01,Yeah.
0:06:17,0:06:20,SPEAKER_03,"I noticed you added music, but that was through the PowerPoint."
0:06:20,0:06:28,SPEAKER_01,"Yeah, I did that on my own software outside of this. But you can do it in the app if you buy the Pro version, which I have."
0:06:29,0:06:30,SPEAKER_03,How much is it?
0:06:30,0:06:32,SPEAKER_01,It's like $10.
0:06:32,0:06:37,SPEAKER_05,"I also think it might be worth, like, if you want to just work on the computer, when you add stuff, it might."
0:06:37,0:06:45,SPEAKER_01,"Yeah, we can also, if they want to add in audio, they can record it separately, and I can put it in there for them. Or in the PowerPoint? Or I can."
0:06:45,0:06:46,SPEAKER_05,"IMovie, or like, phone, right?"
0:06:46,0:06:53,SPEAKER_01,"Yeah, iMovie is free. There's one on Windows that I don't remember the name of. It's like media something."
0:06:53,0:07:01,SPEAKER_02,"But how would you do that? Like, every time you load everything to iMovie, it's just like you can feel the beast working out of that computer. Yeah, you're like, rawr."
0:07:01,0:07:19,SPEAKER_01,"How would we do that? We could, in theory, use their computers to use their Windows application that lets them edit video and add audio. There's a free one that comes with every Windows computer. In Windows. Yeah. Yeah, I'm forgetting. On PC or Mac. They each have their own free version."
0:07:19,0:07:23,SPEAKER_03,"Yeah, because I'm thinking in the PowerPoint, you know, when I work. No. It's just one video."
0:07:23,0:07:26,SPEAKER_04,"No, that wouldn't work. Every time. It's like, where are we going?"
0:07:26,0:07:30,SPEAKER_01,There's a software media something. Yeah. Let me look it up.
0:07:33,0:07:47,SPEAKER_03,"We have to see if we can do it in the iPads that we have. Yes. Well, if we have iPads. And if we can download this application so that the children have some independence to, like, it would be nice for them to navigate the program. For sure, yeah."
0:07:47,0:07:51,SPEAKER_01,"Yeah, if we want to try to set it up on the iPads, we could do iMovie on there, too. Yeah."
0:07:51,0:07:57,SPEAKER_03,"So maybe we need to buy a few more of these. Those are expensive. Three, maybe, to have three."
0:07:57,0:08:00,SPEAKER_00,I want to add on.
0:08:00,0:08:05,SPEAKER_02,"The art teacher is doing, like, movies with the seventh graders."
0:08:05,0:08:14,SPEAKER_03,"So they did a diorama. But she has, like, a... what are they? Art teacher? Ah, the art teacher. The art teacher."
0:08:14,0:08:17,SPEAKER_02,"And she has, like, some ateliers for the iPads."
0:08:17,0:09:06,SPEAKER_02,"So the iPad is fixed. And the students had their diorama, their box. So they have the iPad in front of them. So that was fixed instead of the glass. That's an alternative, too. You have, like, kind of a situation. Like a cardboard box. And it's 3D, but they make almost, like, these dividers for testing. You know, like, that alone. And then they created a scene. And then because the iPad was fixed, they moved stuff around that was 3D. It could be clay. So instead of mounting, it was, like, a... she has a panel. So that's also an alternative. You're working with iPads. Yeah. If you have, like, a stand for the iPad, you just leave the iPad alone. We could look at that. And what did she use? She used photographs like this? No, the students were working on the diorama. So they filled stuff with clay. They built a scene. But then they photographed? Yeah, but they did a stop motion."
0:09:06,0:09:09,SPEAKER_03,"Ah, so they did this, but they put it in a model."
0:09:10,0:09:20,SPEAKER_02,"Not to even see. It was, like, a 3D. But I'm thinking of the logistics, since you mentioned iPads. And the iPads are, like, heavier. And, like, if you can keep the iPad."
0:09:20,0:09:24,SPEAKER_05,"You could turn iPads. But you would need, like, what she's saying, you would need something to stand."
0:09:24,0:09:25,SPEAKER_00,Yeah.
0:09:25,0:09:37,SPEAKER_05,"Because when I did this, I didn't use glass. I had, like, a phone stand that holds it like that with light. And so that works. But we would need phones then. But if we can use the iPads for, like, capturing."
0:09:38,0:09:49,SPEAKER_01,"Yeah, you could use them with this set up. Or with, if you want to get a bunch of cases for. I don't know if you'd want to buy a lot of old, like, cases for old iPads. Oh, these are new cases."
0:09:49,0:10:06,SPEAKER_02,"They're, like, a thing like this. Like a tripod? Like a small tripod. But it's not as funny. A clamp? No, it literally looks like this. And then you hold the iPad. So you kind of, like. It's kind of like an L. It's kind of like an L. Oh."
0:10:06,0:10:08,SPEAKER_03,I have one on my desk.
0:10:08,0:10:12,SPEAKER_02,"It's like a desk. It's a razor. It raises the, anything you're working on."
0:10:12,0:10:20,SPEAKER_06,"Like, if you want it on your laptop, you can, like, adjust. Like. Let me just go really quick. Because I know they're working on here. So she's right downstairs. She has it on there."
0:10:20,0:10:27,SPEAKER_02,"Let's see if I can borrow one. Thank you. Thank you, Joe. Yes, thank you. It was very helpful. Thank you. Thank you."
0:10:27,0:10:32,SPEAKER_06,Thank you. Thank you. Thank you. Thank you. Thank you.
0:10:32,0:10:47,SPEAKER_03,"Thank you. It was very helpful. It was cool. Yeah. Because if we use the stand for that, but we wouldn't have to buy glass. Yes. But then it would be like, we wouldn't be able to buy the stands. But then it would be so, like, that the. But we would have to buy the stand. Yeah."
0:10:47,0:11:02,SPEAKER_01,"And we can use the glass. I was originally thinking, because I've done it with stands before with like, specific mounts that let you have a long arm with it facing straight down. But those are expensive. Yeah. This was cheaper. More expensive than these. This was $20 for that. Yeah."
0:11:02,0:11:04,SPEAKER_06,"So, yeah. I think it's a good investment."
0:11:04,0:11:07,SPEAKER_03,Yeah. Okay. Great.
0:11:07,0:11:09,SPEAKER_03,"Bueno, Paulina, yo investigado los tripods. Los stands."
0:11:09,0:11:34,SPEAKER_01,"We have in the Thing Space, you know, at TC, they have clamps that we use for 3D animation, where it literally just, it's like a vise that clasps onto your phone. We have like four of those, and I don't think we'd be able to borrow them. It would be probably easiest to make more of these."
0:11:34,0:11:36,SPEAKER_03,Like three of these centers.
0:11:36,0:11:38,SPEAKER_01,"Three more, or three total?"
0:11:38,0:11:50,SPEAKER_03,"Four in total. Yeah. That should probably be enough. So we can all at the same time. Because we're supposed to go, tomorrow you have two centers already, right? The plan for tomorrow is six."
0:11:50,0:11:53,SPEAKER_00,"Yes. This is a repetition of last week, right?"
0:11:53,0:12:16,SPEAKER_04,"Yeah. So, the only thing is that we don't have, is that we were thinking about, you know, we were thinking also about showing a sample animation that is a bit more geared towards the final project. But we don't have that."
0:12:16,0:12:25,SPEAKER_00,"But that was tomorrow? No, but tomorrow we're going to keep working in the same centers. Yes, but it, yes, it would be the same centers, but my station just was going to be instead"
0:12:25,0:12:27,SPEAKER_04,"Of, like, would be talking about..."
0:12:27,0:12:28,SPEAKER_01,An animation.
0:12:28,0:12:47,SPEAKER_04,"An animation, so that they could see a sample of, like, what they're going to make down the line. But I just learned now, and I don't, I can't make one today. So, I can pivot for my station, that's totally fine. But yeah, it was just going to be pretty much a repetition of the..."
0:12:47,0:12:51,SPEAKER_03,It would be good for you to pass to create an animation to introduce it before...
0:12:51,0:13:11,SPEAKER_04,"Yeah, and that was the point too, was to have, to then also be able to, to both, so that we then know, and then also so that we have one or two to show them, so that they have a sense of what our final project, and also to be honest, so that I feel like, at least for me, it's like a lot easier to plan if I know what we're working towards."
0:13:11,0:13:15,SPEAKER_05,"But it might be good that we don't start that tomorrow, because then we're going to have"
0:13:15,0:13:21,SPEAKER_05,"That break. Yeah, it's true, and then they're not going to... and then we're also not going to go through all four groups, or five, so... it's true, and it works."
0:13:21,0:13:30,SPEAKER_03,"Next week, we're going to do walkthroughs and come back. Next week, we are away, and then on Tuesday is the day we want to go for the community walk."
0:13:30,0:13:40,SPEAKER_04,"Yes, so we did want to just, I think, talk with you guys about too, that we were thinking about going in small groups, walking around the neighborhood. I don't know if that seems like..."
0:13:40,0:14:32,SPEAKER_03,"To capture images. To then use for animation that are connected to their experiences. I already checked with Maria and Tom, they said it's fine as long as we tell the parents that we're going. We don't need a signed consent or anything, a signed permission form, because it's only about the community. We're not taking public transportation or anything. They said that they signed one for the entire year, but it was fine. Okay. So in the flyer that they haven't seen, we have that day that's the community walk. But the children, no, because Xavier was telling me today, because I couldn't speak to her mom yesterday, she doesn't read the email, and she said today, can we, can she come to the community walk when we go to the community walk? Which is not a bad idea. I don't know, we would want the parents there."
0:14:32,0:14:43,SPEAKER_04,"Yeah, some of the parents obviously will probably, like I know at least in my classroom, I feel like any time we say we're going on a field trip or to leave the kids somewhere, parents want to come."
0:14:43,0:14:46,SPEAKER_06,"They think if it says community walk that they're invited, they may assume."
0:14:46,0:14:50,SPEAKER_04,"Yeah, that's true. And also, I think some of them are just like, I don't know."
0:14:50,0:14:51,SPEAKER_01,We would welcome them.
0:14:51,0:14:58,SPEAKER_03,So do we have a plan for Tuesday? Do we also want to send cameras home? We thought about sending cameras home.
0:14:58,0:15:01,SPEAKER_01,I think we were not going to do that. Yeah.
0:15:01,0:15:07,SPEAKER_00,"I thought that the plan was give them the cameras, go around and take them around. Get the cameras back."
0:15:07,0:15:10,SPEAKER_05,Because getting them back is right there.
0:15:10,0:15:51,SPEAKER_03,"Yeah, they walk around. Yes, as long as they are all with us. So we're going in small groups. Yeah, so that they have the agency of deciding what to capture. It's not just a picture that you have. Yes, yeah. Or the device. That's a good idea. Okay, great. So we need the cameras with the names of the children so that we know who to report. That would be on Tuesday. So we need to have something here. Then, are we going all together? So we start here. We do a brief introduction. And then we all go in small groups, like two adults with their small groups. Is that the plan that we have? I don't know. We don't."
0:15:51,0:16:02,SPEAKER_04,"Because we don't have a plan. It's not a well session. Ah, yes, yes. He asked me to buy origami paper. He wants to make origami. I thought that was an intro, though."
0:16:02,0:16:14,SPEAKER_03,"What about we can create with origami, we can create additions to the photographs. Like go on the photographs or give them prompts with the origami or something. Or we can post Manuel in origami."
0:16:14,0:16:20,SPEAKER_05,Manuel loves origami. I know we can talk about it with Manuel. I don't know if we're meeting this Friday.
0:16:20,0:16:22,SPEAKER_00,"Oh, we are? This Friday, yes."
0:16:22,0:16:36,SPEAKER_05,"So, but if we have to, I don't know if this would be cool. So with this, you have this Friday, you're right. But maps, like having a map that we make and certain things we want to hit. But then maybe the kids also have suggestions, but we can make a route."
0:16:36,0:16:55,SPEAKER_00,"Yeah, I love that. And I remember that we said that since it's many adults, we can have like a small group, so four or five kids, and then decide on the part that you're going to be. So we're not all in the same block."
0:16:55,0:17:00,SPEAKER_04,"And the other thing that we can do is we can do it almost like a stations,"
0:17:00,0:17:10,SPEAKER_04,"Or like a staggered start maybe is a better way to say it. Because like, you know. In different points. Yeah, so that like, it's, you know."
0:17:10,0:17:49,SPEAKER_03,"We only have a few minutes, but I think we finalized that on Friday. I just realized that we have Friday. And we have to continue talking about this on Friday, but I want to spend a few minutes talking about NYSTAVE, because it's next Friday too. They like tell you two weeks before. So, from the teacher candidates, Angela, Andrea, Christina are coming. And then Belinda and I, Paulina is coming, and Hannah is coming. Oh, I didn't respond. Sorry. I have to respond. I mean, we have to confirm with Tom and Maria. They support this. I think they support it. They haven't gotten back to me."
0:17:49,0:17:54,SPEAKER_02,"Yeah, I was, like I forgot to ask Tom. We were like pre-conferencing."
0:17:54,0:17:56,SPEAKER_03,"Yeah, we were busy with the other."
0:17:56,0:18:00,SPEAKER_06,"But I can send him a message. Yeah, I'll send him a message."
0:18:00,0:18:04,SPEAKER_01,"I want to come. What is it? I'm sorry. NYSTAVE, the conference."
0:18:05,0:18:11,SPEAKER_03,"Are you thinking about joining? I would come. Oh, I thought you said that you didn't want to come. That's why."
0:18:11,0:18:17,SPEAKER_06,"No. Ah, okay, okay. I don't think I ever said that. That's good. That's very Alex. That's very exciting."
0:18:17,0:18:36,SPEAKER_03,"Yeah, I think you may have misunderstood what we were saying. No, I can't come because I'm working in no sé qué. No, I'm in the next. My next one is the team. Oh, I misunderstood you there. Sorry, no, I'm not. I'm 17. You're 17. Yeah. Yeah."
0:18:36,0:18:38,SPEAKER_00,"No, no. Do you remember that we talked about it?"
0:18:38,0:18:51,SPEAKER_01,"Yes, yes, yes. I forgot that it's the 17th. I can't go. I'm sorry. But I'm going to be in Massachusetts. I'm going to be with my family. Ah, you can't."
0:18:51,0:18:52,SPEAKER_03,"No, you can't."
0:18:52,0:19:01,SPEAKER_04,"Because he's going to be with his family. He's going to be like, oh, you can come in the family. Let's get rich. I can keep this one."
0:19:01,0:19:05,SPEAKER_02,"I'm going to be in the team. As in Joe's family. Quiero, pero no."
0:19:05,0:19:26,SPEAKER_03,"Everyone's welcome and invited. So, Jayda, just let me know. I mean, we already passed the early registration date, so it's fine now. It's not a big deal. As long as we register you before Friday. But I will register you as a student because you're taking a class. I think you can be both. You can be a student and a teacher."
