Audio File : whispy\mar_07\030723_meeting.wav             
Model size : large-v2

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting es transcription...          
 Time : 04:45:56          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

[0:00:00  ->  0:00:03]  ...app para nuestro chat.
[0:00:03 ->  0:00:05]  Se llama Stop Motion.
[0:00:05 ->  0:00:08]  ¿Y es gratis? ¿Trabajamos de...?
[0:00:08 ->  0:00:10]  Sí, es gratis.
[0:00:10 ->  0:00:14]  Y entonces empezamos con un nuevo filme.
[0:00:14 ->  0:00:18]  No sé si quieres ver qué hay.
[0:00:18 ->  0:00:26]  Entonces, puse este pedazo de tapete aquí para asegurar que siempre esté en el mismo lugar.
[0:00:26 ->  0:00:28]  Y luego...
[0:00:28 ->  0:00:30]  Está en la tienda de aplicaciones.
[0:00:30 ->  0:00:32]  Yo no tengo un teléfono.
[0:00:32 ->  0:00:34]  ¿Solo en la tienda de aplicaciones?
[0:00:34 ->  0:00:36]  Pero lo puedes hacer con una cámara nueva.
[0:00:36 ->  0:00:42]  Probablemente envió el enlace a la tienda de aplicaciones, pero podrías encontrarlo en tu sitio web.
[0:00:42 ->  0:00:44]  En tu sitio web.
[0:00:44 ->  0:00:46]  Lo siento.
[0:00:46 ->  0:00:48]  Entonces...
[0:00:48 ->  0:00:52]  Empezamos con el botón de la cámara.
[0:00:52 ->  0:00:54]  Solo toma una foto.
[0:00:54 ->  0:00:56]  Y luego...
[0:00:56 ->  0:00:58]  Puedes ajustar esto aquí.
[0:00:58 ->  0:01:00]  ¿Qué es eso?
[0:01:00 ->  0:01:04]  Esto ajusta cuántas de las imágenes anteriores aparecen.
[0:01:04 ->  0:01:06]  No recuerdo quién hoy estaba diciendo...
[0:01:06 ->  0:01:10]  Estaba describiendo cómo hacemos animaciones.
[0:01:10 ->  0:01:14]  Y dijo que debes ir a base de los sospechos.
[0:01:14 ->  0:01:18]  Dijo algo sobre las imágenes por segundo.
[0:01:19 ->  0:01:25]  Si ves ahora, cuando lo aprieto, tiene el frame anterior y lo que ahora está diciendo.
