,Start,End,Speaker,Text
0,0:00:00,0:00:05,SPEAKER 3," A ver, ¿cuántos niños son?  22 "
1,0:00:05,0:00:06,SPEAKER 1," 23, ¿no? "
2,0:00:06,0:00:08,SPEAKER 3, Nos dará tiempo. 
3,0:00:08,0:00:14,SPEAKER 4," Sí, ¿qué os parece si salen dos grupos?  ¿Se quedan dos grupos?  ¿Para hacerlo en un grupito bien pequeño? "
4,0:00:14,0:00:16,SPEAKER 3, Sí. 
5,0:00:16,0:00:26,SPEAKER 2," A ver, ¿qué voy a decir?  A ver, hay que ver también el clima.  Porque está bien y aparentemente  el martes va a llover, supuestamente. "
6,0:00:26,0:00:28,SPEAKER 1, ¡Hola! 
7,0:00:28,0:00:32,SPEAKER 2," El miércoles no.  En cualquier caso, podemos cambiarlo para el miércoles. "
8,0:00:32,0:00:34,SPEAKER 5," Sí, si hubiera... "
9,0:00:34,0:00:38,SPEAKER 2," Y si llueve, pues entonces  se puede hacer la actividad aquí. "
10,0:00:38,0:00:42,SPEAKER 4, En mi teléfono dice 98%  de que llueva. 
11,0:00:42,0:00:46,SPEAKER 5," ¡Ah, no!  Se va corriendo, yo no tomaría... "
12,0:00:46,0:00:48,SPEAKER 4," Sí, se puede mover. "
13,0:00:48,0:00:50,SPEAKER 5," Pero ya todavía, porque a veces se va... "
14,0:00:50,0:00:54,SPEAKER 3," Sí, queda una semana.  Se puede cambiar. "
15,0:00:54,0:01:10,SPEAKER 4," Sí, puede cambiar todavía.  ¿Qué aprendimos de la comunidad?  Dylan habló de un campo de baseball  que va casi todos los días allá a jugar.  Va a su casa, se cambia de ropa  y se pone su forma profesional. "
16,0:01:10,0:01:14,SPEAKER 3, Y se va al campo de baseball.  Y lo dibujó. 
17,0:01:14,0:01:16,SPEAKER 4, Y luego dibujó la entrada del tren. 
18,0:01:16,0:01:20,SPEAKER 3, ¿Le llaman?  El metro. 
19,0:01:20,0:01:24,SPEAKER 4, A mí me encanta la entrada.  181. 
20,0:01:24,0:01:26,SPEAKER 3, Porque hay mucha vida alrededor de la entrada. 
21,0:01:26,0:01:28,SPEAKER 1, Sofía hizo el tren adentro 
22,0:01:28,0:01:30,SPEAKER 3, y hizo una rata. 
23,0:01:42,0:01:46,SPEAKER 1," En nuestro grupo, sí,  estábamos con Marin, Novani "
24,0:01:46,0:01:48,SPEAKER 3," y Jordani, que al principio "
