~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 Starting en transcription...
 Time : 00:51:07________
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

C:\Users\mattt\AppData\Local\Programs\Python\Python38\lib\site-packages\whisper\transcribe.py:114: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Say movie Mario.
[00:06.000 --> 00:07.000]  Tell me.
[00:07.000 --> 00:09.000]  Tell me what you are doing.
[00:13.000 --> 00:15.000]  What do you mean? Aren't you planning your stop motion?
[00:15.000 --> 00:16.000]  Yes.
[00:16.000 --> 00:18.000]  Movie? Let's see how it goes.
[00:18.000 --> 00:21.000]  Here. Remember here we are going to change the story?
[00:21.000 --> 00:22.000]  Yes.
[00:22.000 --> 00:24.000]  Remember here we are going to change here?
[00:24.000 --> 00:26.000]  We have to reconcile.
[00:27.000 --> 00:29.000]  It's Aiden, right?
[00:29.000 --> 00:31.000]  Yes, it's Aiden.
[00:31.000 --> 00:37.000]  Because he made a story where they fight with Isis.
[00:37.000 --> 00:40.000]  Aha, this is Aiden and this is Isis?
[00:40.000 --> 00:41.000]  Yes.
[00:41.000 --> 00:43.000]  Isis made it, not me.
[00:43.000 --> 00:45.000]  Oh, Isis.
[00:45.000 --> 00:47.000]  Isis made the story, not me.
[00:47.000 --> 00:48.000]  She made the story?
[00:48.000 --> 00:49.000]  Yes.
[00:49.000 --> 00:50.000]  Last week?
[00:50.000 --> 00:52.000]  No, before the break.
[00:52.000 --> 00:53.000]  Before the break?
[00:53.000 --> 00:54.000]  Before the break.
[00:54.000 --> 00:56.000]  Aha, but do you remember what it was?
[00:56.000 --> 01:00.000]  In the end, he said they were going to get angry.
[01:00.000 --> 01:04.000]  So we were talking about when we fight with our friends,
[01:04.000 --> 01:08.000]  if we get angry or reconcile.
[01:10.000 --> 01:12.000]  Tell me, Jaira, didn't you like this story?
[01:12.000 --> 01:14.000]  Didn't you want this story?
[01:14.000 --> 01:15.000]  Or do you want to finish it?
[01:15.000 --> 01:18.000]  Because you say that Isis was the one who made it.
[01:18.000 --> 01:20.000]  We can change it.
[01:20.000 --> 01:23.000]  Tell me, tell me the story.
[01:23.000 --> 01:26.000]  Do you like the story, Jaira? Tell me.
[01:28.000 --> 01:30.000]  Is this story important to you or not?
[01:30.000 --> 01:31.000]  Yes.
[01:31.000 --> 01:33.000]  It has to be important to you. Why?
[01:34.000 --> 01:36.000]  Jordani said he's going to do the walk.
[01:36.000 --> 01:38.000]  Why is it important to you?
[01:39.000 --> 01:42.000]  What are you going to put? Are you going to put something from the community in your box for the story?
[01:42.000 --> 01:43.000]  No.
[01:43.000 --> 01:45.000]  Where is this story going to happen?
[01:45.000 --> 01:47.000]  In the park.
[01:48.000 --> 01:50.000]  In the park? Let's see.
[01:51.000 --> 01:55.000]  In the park where we didn't go, where they play baseball.
[01:58.000 --> 02:00.000]  We didn't go on the day of the walk, I mean.
[02:01.000 --> 02:02.000]  No?
[02:02.000 --> 02:04.000]  Okay, but it's going to be in the park.
[02:04.000 --> 02:05.000]  We didn't go.
[02:06.000 --> 02:07.000]  It's going to be in the park.
[02:09.000 --> 02:11.000]  Let's see, and Dariel, what is he doing?
[02:12.000 --> 02:13.000]  It's perfect.
[02:13.000 --> 02:14.000]  You said it.
[02:14.000 --> 02:15.000]  Yes.
[02:16.000 --> 02:19.000]  But tell me, what's going to happen in the park?
[02:19.000 --> 02:22.000]  Explain to the teacher how the story is going to be.
[02:22.000 --> 02:24.000]  And we can change things.
[02:24.000 --> 02:26.000]  Tell him how you explained it to me.
[02:26.000 --> 02:27.000]  Let's see, Jaden.
[02:40.000 --> 02:43.000]  Well, we're going to make the dolls with plastic, right?
[02:44.000 --> 02:45.000]  No.
[02:45.000 --> 02:46.000]  How are we going to do it?
[02:46.000 --> 02:48.000]  Wait, maybe he has another idea, Dariel.
[02:49.000 --> 02:50.000]  Because he said no.
[02:51.000 --> 02:52.000]  Yes, yes, yes.
[02:52.000 --> 02:53.000]  Yes, yes, we're going to do it with plastic.
[02:53.000 --> 02:56.000]  We're going to make an Isis and we're going to make a Jaden.
[02:57.000 --> 02:59.000]  And what's going to happen? How is the action going to be?
[03:00.000 --> 03:01.000]  How is the action going to be?
[03:01.000 --> 03:03.000]  How is your stop motion going to be?
[03:03.000 --> 03:04.000]  What's going to happen first?
[03:04.000 --> 03:05.000]  What's going to happen first?
[03:09.000 --> 03:11.000]  Do you want to check what we wrote first?
[03:15.000 --> 03:17.000]  Can I take a picture of you?
[03:18.000 --> 03:19.000]  What did you write here?
[03:19.000 --> 03:20.000]  A lot of words.
[03:20.000 --> 03:23.000]  We're going to take a picture of your movie.
[03:24.000 --> 03:25.000]  Wait, first put it on.
[03:25.000 --> 03:26.000]  Now you can press it.
[03:27.000 --> 03:28.000]  Do you want to press it?
[03:29.000 --> 03:31.000]  Jaden, do you want to press the button?
[03:32.000 --> 03:33.000]  Here?
[03:33.000 --> 03:34.000]  I'll press it.
[03:34.000 --> 03:35.000]  Stand up and look there.
[03:36.000 --> 03:38.000]  There, perfect. Thank you.
[03:38.000 --> 03:40.000]  This is Jaden and Isis.
[03:41.000 --> 03:42.000]  Right?
[03:43.000 --> 03:44.000]  Can you tell me?
[03:46.000 --> 03:47.000]  What did they write there?
[03:47.000 --> 03:48.000]  Me?
[03:50.000 --> 03:51.000]  Isis?
[03:52.000 --> 03:54.000]  Me fighting Isis.
[03:55.000 --> 03:56.000]  Fighting Isis.
[03:56.000 --> 03:58.000]  Good title, right? Because that's the story.
[03:59.000 --> 04:02.000]  And what do you want to tell the people who see your story?
[04:03.000 --> 04:05.000]  What message are you giving as the author?
[04:05.000 --> 04:07.000]  You're the author of the story. What's your message?
[04:09.000 --> 04:10.000]  To the reader.
[04:12.000 --> 04:13.000]  There has to be a message, right?
[04:22.000 --> 04:23.000]  Let's see, Dariel.
[04:23.000 --> 04:24.000]  Can I take a picture of you?
[04:24.000 --> 04:26.000]  You're not done yet. I'll take a picture of you later.
[04:26.000 --> 04:28.000]  Yes, because the story is changing a bit.
[04:29.000 --> 04:30.000]  Tell me, Dariel.
[04:31.000 --> 04:33.000]  There's Mario coming with us to the pool.
[04:33.000 --> 04:34.000]  Can I use your eraser?
[04:34.000 --> 04:35.000]  Wait one second.
[04:36.000 --> 04:37.000]  I messed up.
[04:39.000 --> 04:40.000]  Thanks.
[04:41.000 --> 04:42.000]  Dariel and...
[04:43.000 --> 04:44.000]  Mario!
[04:46.000 --> 04:48.000]  Dariel and Mario, is that your title?
[04:49.000 --> 04:51.000]  No, here it says the title is The Bee.
[04:53.000 --> 04:55.000]  Is that the title of your story, Dariel?
[04:55.000 --> 04:57.000]  Dariel and Mario, is that your title?
[04:57.000 --> 04:59.000]  Yeah, mine is Mario too.
[04:59.000 --> 05:00.000]  You changed it.
[05:00.000 --> 05:02.000]  Mine is Mario too.
[05:02.000 --> 05:04.000]  Sorry, remind me your name.
[05:05.000 --> 05:06.000]  Mario.
[05:06.000 --> 05:07.000]  Remind me your name.
[05:08.000 --> 05:09.000]  Jordani, sorry, Jordani.
[05:09.000 --> 05:12.000]  Jordani, tell me. What are you looking for on the phone?
[05:13.000 --> 05:14.000]  I want to play Mario.
[05:14.000 --> 05:17.000]  You want to play Mario too? You already did it. It was really good.
[05:18.000 --> 05:20.000]  Yes, but I didn't like it.
[05:20.000 --> 05:21.000]  You didn't like it that much?
[05:23.000 --> 05:25.000]  I want to do an easy version.
[05:26.000 --> 05:27.000]  What?
[05:27.000 --> 05:28.000]  An easy version.
[05:28.000 --> 05:30.000]  An easy version to be able to draw it better.
[05:31.000 --> 05:32.000]  Can I get a color?
[05:33.000 --> 05:34.000]  Okay.
[05:35.000 --> 05:36.000]  And what is the story going to be?
[05:37.000 --> 05:38.000]  Have you thought about it?
[05:38.000 --> 05:40.000]  I don't care. I just want...
[05:43.000 --> 05:46.000]  But we said Mario was going to walk through where?
[05:46.000 --> 05:47.000]  Wait, let me see, let me see.
[05:48.000 --> 05:49.000]  No, actually I want...
[05:50.000 --> 05:51.000]  He's focused.
[05:52.000 --> 05:53.000]  I want red, yellow...
[05:54.000 --> 05:56.000]  Red, yellow and blue.
[05:57.000 --> 05:58.000]  Mario's colors.
[05:58.000 --> 05:59.000]  Yeah.
[05:59.000 --> 06:00.000]  Okay.
[06:01.000 --> 06:02.000]  And brown.
[06:02.000 --> 06:03.000]  What's going on in your story, Darién?
[06:04.000 --> 06:05.000]  Oh, that was a good one!
[06:07.000 --> 06:08.000]  That was a good one.
[06:08.000 --> 06:11.000]  Where is Mario? Mario's right here.
[06:12.000 --> 06:13.000]  That's a good part.
[06:13.000 --> 06:14.000]  Yes, it's really good.
[06:15.000 --> 06:17.000]  But you skipped this whole story.
[06:18.000 --> 06:19.000]  I'm gonna fix it.
[06:20.000 --> 06:21.000]  Tell me from the beginning.
[06:22.000 --> 06:23.000]  No, I mean, telling me what you want.
[06:23.000 --> 06:24.000]  I need also a brown.
[06:24.000 --> 06:25.000]  A brown.
[06:25.000 --> 06:26.000]  Brown.
[06:26.000 --> 06:27.000]  Brown.
[06:27.000 --> 06:28.000]  Brown.
[06:29.000 --> 06:31.000]  Tell me what happens in the first one.
[06:32.000 --> 06:34.000]  Okay, you tell me how it goes.
[06:35.000 --> 06:37.000]  You say you go to the beach with Mario.
[06:38.000 --> 06:39.000]  And with my other friend.
[06:40.000 --> 06:41.000]  With other friends?
[06:42.000 --> 06:43.000]  That are not from the video game?
[06:44.000 --> 06:45.000]  Not from the video game.
[06:46.000 --> 06:47.000]  Okay, people.
[06:47.000 --> 06:48.000]  Really.
[06:49.000 --> 06:50.000]  Really.
[06:50.000 --> 06:51.000]  And what are they going to do on the beach?
[06:51.000 --> 06:52.000]  What are they going to do on the beach?
[06:53.000 --> 06:54.000]  We are going to...
[07:07.000 --> 07:09.000]  Is there going to be a problem in your story or not?
[07:16.000 --> 07:17.000]  Is that Darién?
[07:18.000 --> 07:19.000]  Or you can't?
[07:19.000 --> 07:20.000]  You can't draw.
[07:31.000 --> 07:32.000]  Okay, tell me the story now.
[07:33.000 --> 07:36.000]  So, you go to the beach with Mario and other real people.
[07:37.000 --> 07:38.000]  All your friends.
[07:38.000 --> 07:39.000]  And what happens?
[07:40.000 --> 07:41.000]  Mario took off his hat here.
[07:42.000 --> 07:43.000]  He took off his hat here?
[07:43.000 --> 07:44.000]  On the three?
[07:45.000 --> 07:46.000]  This is the one.
[07:46.000 --> 07:47.000]  Can I put numbers?
[07:47.000 --> 07:48.000]  This is the two.
[07:48.000 --> 07:49.000]  Can I put a number here?
[07:50.000 --> 07:51.000]  This is the three, right?
[07:52.000 --> 07:53.000]  And this is the four.
[07:53.000 --> 07:54.000]  Okay.
[07:54.000 --> 07:55.000]  Can you explain to me about the three?
[07:56.000 --> 07:57.000]  Did he put his hat there?
[07:58.000 --> 07:59.000]  No, he took it off.
[07:59.000 --> 08:00.000]  He took off his hat.
[08:01.000 --> 08:02.000]  Ah, because he always wears it like this.
[08:02.000 --> 08:03.000]  Okay.
[08:04.000 --> 08:05.000]  This is...
[08:05.000 --> 08:06.000]  Look.
[08:12.000 --> 08:14.000]  Thirteen hours and more than two.
[08:14.000 --> 08:15.000]  He comes and goes without Mario.
[08:16.000 --> 08:17.000]  And now what is Mario going to do?
[08:18.000 --> 08:19.000]  Mario...
[08:22.000 --> 08:23.000]  This is Mario?
[08:24.000 --> 08:25.000]  And where is the hat now?
[08:26.000 --> 08:28.000]  Put it in red if you want it to look better.
[08:29.000 --> 08:30.000]  Like here, right?
[08:31.000 --> 08:32.000]  He put it in a box.
[08:33.000 --> 08:35.000]  Oh, it's not here in the scene, the hat is not shown.
[08:36.000 --> 08:37.000]  Okay.
[08:37.000 --> 08:38.000]  And what happens in the story?
[08:38.000 --> 08:39.000]  What is the problem in the story?
[08:40.000 --> 08:41.000]  Is there a problem or not?
[08:41.000 --> 08:42.000]  No.
[08:42.000 --> 08:43.000]  Okay.
[08:43.000 --> 08:44.000]  He's having fun and stuff.
[08:46.000 --> 08:47.000]  He's having a good time.
[08:47.000 --> 08:48.000]  He's having fun, you say?
[08:49.000 --> 08:51.000]  I love how you said it in English.
[08:52.000 --> 08:53.000]  Yes.
[08:54.000 --> 08:55.000]  There's water there.
[08:56.000 --> 08:57.000]  There's water.
[08:58.000 --> 08:59.000]  In the first one, what happens in the water?
[09:00.000 --> 09:01.000]  No, that's not water.
[09:01.000 --> 09:02.000]  It's a car.
[09:03.000 --> 09:04.000]  In the past...
[09:04.000 --> 09:05.000]  Oh, where is the water?
[09:06.000 --> 09:08.000]  Because you told me something about the water, right?
[09:09.000 --> 09:13.000]  Of course, you put it blue and I thought you were going to color it brown now.
[09:15.000 --> 09:16.000]  Better.
[09:18.000 --> 09:20.000]  And another car.
[09:21.000 --> 09:22.000]  And now...
[09:23.000 --> 09:24.000]  And where are they going to be?
[09:25.000 --> 09:27.000]  12 hours and 29 minutes.
[09:30.000 --> 09:32.000]  Another car.
[09:33.000 --> 09:36.000]  Behind the others.
[09:37.000 --> 09:38.000]  And he crashed it.
[09:39.000 --> 09:40.000]  He crashed it?
[09:40.000 --> 09:41.000]  Here in the number one?
