Start,End,Speaker,Text
0:00:00,0:00:09,SPEAKER_00,Dile a Muffy y a Mario. Dime. Dime que estás haciendo.
0:00:13,0:00:16,SPEAKER_02,¿Cómo nada? ¿No están planificando su stop motion? Sí.
0:00:16,0:00:20,SPEAKER_01,"Muffy, a ver cómo va. Aquí. Dime."
0:00:20,0:00:22,SPEAKER_00,¿Se acuerda de que íbamos a cambiar la historia?
0:00:22,0:00:37,SPEAKER_01,"¿Sí? ¿Se acuerda de que íbamos a cambiar aquí? Tenemos que que se reconcilien. Es Aiden, ¿verdad? Sí, es Aiden. Aiden, Aiden. Con Belén. Donde se pelean con Isis."
0:00:37,0:00:41,SPEAKER_02,"Ajá, ajá. Este es Aiden y ese es Isis. Sí."
0:00:41,0:00:43,SPEAKER_00,"Isis hizo esto, no yo."
0:00:43,0:00:47,SPEAKER_01,"Con otra Isis. Oh, Isis. Isis hizo la historia, no yo."
0:00:47,0:00:56,SPEAKER_02,"¿Hizo la historia? Sí. ¿La semana pasada? ¿Cuando? ¿Antes de vacaciones? Antes del break. Ah, ¿pero te acuerdas de qué era?"
0:00:56,0:01:07,SPEAKER_01,"Y al final el puso que se iban enojados. Entonces estábamos hablando que cuando peleamos con los amigos, si nos quedamos enojados o nos reconciliamos."
0:01:10,0:01:20,SPEAKER_02,"Cuéntame, Jaira, ¿no te gustaba esta historia? ¿No querías esta historia? ¿O quieren que termine? Porque dices que Isis fue el que la hizo. La que la hizo. ¿La podemos cambiar? ¿La podemos cambiar?"
0:01:20,0:01:22,SPEAKER_00,"Cuéntame, cuéntame la historia."
0:01:22,0:01:24,SPEAKER_02,"¿Te gusta la historia, Jaira?"
0:01:24,0:01:25,SPEAKER_01,Cuéntamela.
0:01:25,0:01:27,SPEAKER_02,¿Es importante para ti esta historia o no?
0:01:27,0:01:44,SPEAKER_02,"Sí. Pero tiene que ser importante para ti, ¿por qué? Porque es importante para ti. ¿Qué vas a poner? ¿Vas a poner algo de la comunidad en tu caja para la historia? No. ¿Dónde va a pasar esta historia? En el parque."
0:01:44,0:01:46,SPEAKER_01,¿En el parque? A ver.
0:01:48,0:01:55,SPEAKER_02,"En el parque que no fuimos, que está, pero que es donde juegan al béisbol. No fuimos el día del paseo, digo. ¿No?"
0:01:55,0:01:58,SPEAKER_00,"No. Ok, pero va a ser en el parque. No fuimos."
