Start,End,Speaker,Text
0:00:00,0:00:02,?,Muffy y Mario...
0:00:06,0:00:15,Patricia,Cuéntame. Cuéntame que estás haciendo. ¿Cómo nada? ¿No están planificando su stop motion?
0:00:15,0:00:27,Belén,"Sí. Muffy, a ver cómo va. Aquí. Dime. ¿Se acuerda de que íbamos a cambiar la historia? ¿Sí? ¿Se acuerda de que íbamos a cambiar aquí? Tenemos que que se reconcilien."
0:00:28,0:00:30,Patricia,"Es Aiden, ¿verdad?"
0:00:30,0:00:37,Belén,"Sí, es Jayden. Jayden, Jayden. Con Belén. Donde se pelean con Isis."
0:00:37,0:00:41,Patricia,"Ajá, ajá. Este es Jayden y ese es Isis. Sí."
0:00:41,0:00:43,SPEAKER_00,"Isis hizo esto, no yo."
0:00:43,0:00:47,Belén,"Con otra Isis. Oh, Isis. Isis hizo la historia, no yo."
0:00:47,0:00:53,Patricia,¿Hizo la historia? Sí. ¿La semana pasada? ¿Cuando? ¿Antes de vacaciones?
0:00:53,0:00:54,Belén,Antes del break.
0:00:54,0:00:56,Patricia,"Ah, ¿pero te acuerdas de qué era?"
0:00:56,0:01:07,Belén,"Y al final el puso que se iban enojados. Entonces estábamos hablando que cuando peleamos con los amigos, si nos quedamos enojados o nos reconciliamos."
0:01:10,0:01:13,Patricia,"Cuéntame, Jayden, ¿no te gustaba esta historia? ¿No querías esta historia?"
0:01:13,0:01:14,Belén,¿O quieren que termine?
0:01:14,0:01:27,Patricia,"Porque dices que Isis fue el que la hizo. La que la hizo. ¿La podemos cambiar? Cuéntame, cuéntame la historia. ¿Te gusta la historia, Jayden? Cuéntamela. ¿Es importante para ti esta historia o no?"
0:01:27,0:01:28,Jayden,Sí.
0:01:28,0:01:39,Patricia,"Pero tiene que ser importante para ti, ¿por qué? Porque es importante para ti. ¿Qué vas a poner? ¿Vas a poner algo de la comunidad en tu caja para la historia?"
0:01:39,0:01:40,Jayden,No.
0:01:40,0:01:42,Patricia,¿Dónde va a pasar esta historia?
0:01:42,0:01:44,Jayden,En el parque.
0:01:44,0:01:55,Patricia,"¿En el parque? A ver. En el parque que no fuimos, que está, pero que es donde juegan al béisbol. No fuimos el día del paseo, digo. ¿No?"
0:01:55,0:01:56,Jayden,No.
0:01:56,0:01:58,Patricia,"Ok, pero va a ser en el parque. No fuimos."
0:01:58,0:01:59,Belén,¡Wow!
0:01:59,0:02:08,Patricia,"Va a ser en el parque. A ver, y Dariel, ¿qué está haciendo? ¡Wow! Es perfecto. ¿Lo has dicho? Sí."
0:02:08,0:02:09,Belén,Yo creo que está bien así.
0:02:09,0:02:13,Patricia,Sí. Pero cuéntamelo. ¿O qué va a pasar en el parque y qué va a pasar?
0:02:13,0:02:22,Belén,Voy con la profesora y la profesora. ¿Qué va a pasar? Explícale a la profesora cómo es la historia.
0:02:22,0:02:24,Patricia,"Y podemos cambiar cositas. A ver, cuéntame."
0:02:26,0:02:27,Patricia,"A ver, Jaden."
0:02:32,0:02:35,SPEAKER_00,We need like a... ....
0:02:41,0:02:43,Patricia,"Bueno, los muñequitos los vamos a hacer con plástico, ¿no?"
0:02:44,0:02:45,SPEAKER_00,No.
0:02:45,0:03:05,Patricia,"Sí. ¿Cómo los vamos a hacer? Espera, que a lo mejor él tiene otra idea, Dariel. Porque ha dicho que no. Sí, sí, lo vamos a hacer con plástico. Vamos a hacer una Isis y vamos a hacer un Jaden. ¿Y qué va a pasar? ¿Cómo va a ser la acción? ¿Cómo va a ser la acción? ¿Cómo va a ser tu stop motion? ¿Qué va a pasar primero?"
0:03:09,0:03:12,Belén,¿Queda revisar lo que escribimos primero?
0:03:12,0:03:14,Jayden,"No, no, no, no."
0:03:15,0:03:34,Patricia,"¿Le puedo sacar una foto? Oh, oh, ¿qué escribieron aquí? Un montón de palabras. Vamos a hacer una foto de tu... de tu... movie. Espera, primero que la coloque. Hagale pues, a apretar. ¿Le quieres apretar tú? Jaden, ¿le quieres apretar? ¿Al botón? ¿Aquí? La aprieto yo."
0:03:34,0:03:35,Belén,Mira para ti y mira ahí.
0:03:36,0:03:51,Patricia,"Ahí, perfecto. Gracias. Este es el de Jaden y Isis. ¿Es verdad? ¿Me cuentas? ¿Ahí qué pusieron? ¿Me? ¿Isis?"
0:03:51,0:03:54,Jayden,"Isis. Me, fighting Isis."
0:03:54,0:04:13,Patricia,"Fighting Isis. Buen título, ¿no? Porque de eso es la historia. ¿Y qué quieres decirle a las personas que vean tu historia? ¿Qué mensaje estás dando como autor? Tú eres el autor de la historia. ¿Cuál es tu mensaje? Al lector. Tiene que haber un mensaje, ¿no?"
0:04:13,0:04:14,Dariel?,Fine.
0:04:22,0:04:26,Patricia,"A ver, Dariel, ¿puedo sacarle foto? Oh, tú todavía no has terminado. Le saco foto después."
0:04:26,0:04:28,Belén,"Sí, porque está cambiando un poco la historia."
0:04:29,0:04:30,Patricia,"Cuéntame, Dariel."
0:04:31,0:04:37,SPEAKER_00,Está viendo Mario con nosotros. ¿Can I use an eraseer? Espera un segundo. ¡Ah I ruined it!
0:04:39,0:04:42,Belén,Gracias. Dariel y...
0:04:43,0:04:51,Patricia,"¡Mario! Dariel y Mario, ¿ese es tu título? No, aquí pone que el título es The Bee."
0:04:53,0:04:55,Belén,"¿Ese es el título de tu historia, Dariel?"
0:04:55,0:04:58,Patricia,"Dariel y Mario, ¿va a ser tu título? Sí."
0:04:58,0:05:05,SPEAKER_00,"Sí, mi nombre es Mario también. Lo has cambiado. Mi nombre es Mario también. Perdona, recuérdame tu nombre, que se me olvidó. ¿Es Mario?"
0:05:05,0:05:12,Patricia,"¿Recuérdame tu nombre? ¿Recuérdame tu nombre? Jordani. Jordani, perdón, Jordani. A ver, Jordani, dime, ¿qué estás buscando en el teléfono?"
0:05:12,0:05:14,SPEAKER_00,Hacer Mario.
0:05:14,0:05:17,Patricia,"¿Quieres hacer Mario también? Ya lo tenías hecho, estaba súper bien."
0:05:17,0:05:19,SPEAKER_00,"Sí, pero no me gustó."
0:05:20,0:05:21,Patricia,¿No te gustó tanto?
0:05:22,0:05:25,SPEAKER_00,Y ahora quiero hacer un Easy.
0:05:26,0:05:27,Patricia,¿Cómo?
0:05:27,0:05:28,SPEAKER_00,Un Easy version.
0:05:28,0:05:30,Patricia,¿Un Easy version? ¿Para poderlo dibujar mejor?
0:05:31,0:05:32,Belén,¿This?
